#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
4674,Leomar Rosario,703855,703855,sa3019127,,HOU,RP,RP
4675,Leonard Gabrielson,702068,702068,sa3022811,,NYY,OF,OF
4676,Leonard Jones,695292,695292,sa3014840,,SL,OF,OF
4677,Leonardo Balcazar,699114,699114,sa3015798,,CIN,SS,SS
4678,Leonardo Bernal,699024,699024,sa3015773,,STL,C,C
4679,Leonardo Pestana,679758,679758,sa3005456,,NYY,SP,SP
4680,Leonardo Rivas,660844,660844,sa872542,,SEA,SS,SS
4681,Leonardo Rondon,699720,699720,sa3015839,,PHI,C,C
4682,Leonardo Seminati,682504,682504,sa3008298,,CIN,1B,1B
4683,Leonel Espinoza,696083,696083,sa3015735,,CHC,OF,OF
4684,Leonel Valera,665987,665987,sa917320,,FA,2B,2B
4685,Leosdany Molina,702416,702416,sa3015874,,HOU,SS,SS
4686,Lester Madden,683774,683774,sa3008603,,FA,OF,OF
4687,Leugim Castillo,676108,676108,sa3005128,,FA,OF,OF
4688,Leuris Portorreal,808224,808224,sa3021520,,WSH,SP,SP
4689,Leury Garcia,544725,5913,5913,8440,FA,2B,2B/SS/ 3B/OF
4690,Leury Tejada,681839,681839,sa3007935,,TEX,RP,RP
4691,Levi Jordan,682119,682119,sa3007976,,CHC,2B,2B
4692,Levi Kelly,669189,669189,sa3008500,11032,FA,RP,RP
4693,Levi Prater,686246,686246,sa3014861,,STL,SP,SP
4694,Levi Stoudt,686651,686651,25650,11432,CIN,SP,SP
4695,Levi Usher,678023,678023,sa3019886,,KC,OF,OF
4696,Lewin De La Cruz,692548,692548,sa3015640,,ARI,2B,2B
4697,Lewin Diaz,650331,650331,18365,10718,BAL,1B,1B
4698,Lewis Brinson,621446,14352,14352,,FA,OF,OF
4699,Lewis Castillo,693770,693770,sa3015680,,FA,3B,3B
4700,Lewis Thorpe,626929,626929,15906,,FA,SP,SP
4701,Lexer Saduy,691418,691418,sa3015536,,CLE,OF,OF
4702,Leyderman Ruiz,808266,808266,sa3021846,,NYM,2B,2B
4703,Liam Hendriks,521230,3548,3548,8170,CHW,RP,RP
4704,Liam Hicks,689414,689414,sa3017400,,TEX,C,C
4705,Liam Norris,691005,691005,sa3014543,,ARI,SP,SP
4706,Liam Sabino,656925,656925,sa3007821,,SEA,2B,2B
4707,Liam Simon,687216,687216,sa3020256,,SF,RP,RP
